time,lon,lat,Temperature_Air_2m_Min_24h
2015-03-28,9.399999999989234,47.40000000000242,0.7359000000000151
2015-03-29,9.399999999989234,47.40000000000242,6.287260000000003
2015-03-30,9.399999999989234,47.40000000000242,5.502040000000022
2015-03-31,9.399999999989234,47.40000000000242,3.0184000000000424
2015-04-01,9.399999999989234,47.40000000000242,0.4215000000000373
2015-04-02,9.399999999989234,47.40000000000242,0.4911000000000172
2015-04-03,9.399999999989234,47.40000000000242,-1.1155799999999658
2015-04-04,9.399999999989234,47.40000000000242,0.5267600000000243
2015-04-05,9.399999999989234,47.40000000000242,-1.934699999999964
2015-04-06,9.399999999989234,47.40000000000242,-0.9903299999999717
2015-04-07,9.399999999989234,47.40000000000242,-3.5294999999999845
2015-04-08,9.399999999989234,47.40000000000242,-0.7192999999999756
