Unnamed: 0,lat,lon,time,cloud cover mean,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
271684,41.75,-2.75,2054-05-01,0.5721246,1.6845776e-08,25.44744000000003,6.935879999999997,15.514499999999998,765.59216
272307,41.75,-2.75,2054-06-01,0.35571247,3.4226924e-09,29.964,10.847740000000044,19.797570000000007,854.76483
273113,41.75,-2.75,2054-07-01,0.16081575,0.0,33.72340000000003,15.66485,26.018500000000017,890.20703
273381,41.75,-2.75,2054-08-01,0.27925348,8.423817e-09,31.25692000000004,16.9803,23.84222,907.9106
274009,41.75,-2.75,2054-09-01,0.43581647,1.0521348e-08,26.218700000000013,13.962150000000008,18.61422000000005,893.92377
274760,41.75,-2.75,2054-10-01,0.5630939,2.378146e-08,21.547140000000013,9.240319999999995,12.540800000000049,819.15784
274889,41.75,-2.75,2054-11-01,0.6331875,2.439258e-08,10.904700000000048,2.501520000000028,6.573720000000037,678.95135
275667,41.75,-2.75,2054-12-01,0.69280833,2.3034469e-08,9.04260000000005,0.3871400000000449,4.685400000000016,675.61816
276122,41.75,-2.75,2055-01-01,0.7849813,3.9247524e-08,7.2529499999999985,0.5938000000000443,3.55600000000004,668.72296
276786,41.75,-2.75,2055-02-01,0.76509196,4.5033165e-08,9.131430000000025,2.634550000000047,5.993280000000027,708.51605
277242,41.75,-2.75,2055-03-01,0.6023749,2.4190594e-08,13.385220000000004,1.8905300000000125,7.562040000000024,659.25183
278262,41.75,-2.75,2055-04-01,0.552072,2.1157678e-08,14.916470000000004,6.09393,10.400959999999998,699.6447
278799,41.75,-2.75,2055-05-01,0.36506388,1.3773768e-08,21.89870000000002,11.04516000000001,17.197750000000042,839.2875
279434,41.75,-2.75,2055-06-01,0.4458642,1.7049663e-08,26.8039,14.986570000000029,21.065,925.4305
279976,41.75,-2.75,2055-07-01,0.17509684,1.16109025e-08,27.18618000000004,15.45168000000001,22.345540000000028,937.45514
280172,41.75,-2.75,2055-08-01,0.24154653,0.0,27.95294000000001,15.94177000000002,24.54427000000004,875.2833
280621,41.75,-2.75,2055-09-01,0.3866538,1.8731333e-08,28.88342,12.424400000000048,20.71987000000001,902.4324
281519,41.75,-2.75,2055-10-01,0.562911,1.84178e-08,19.024100000000036,9.704700000000004,13.846460000000036,843.05884
281902,41.75,-2.75,2055-11-01,0.613906,2.1696478e-08,13.530660000000012,4.951530000000048,7.677760000000035,682.9618
282550,41.75,-2.75,2055-12-01,0.5784467,3.2443221e-09,8.487240000000043,1.0910000000000082,4.524470000000008,633.5602
283359,41.75,-2.75,2056-01-01,0.6975228,1.7785199e-08,8.230520000000013,0.6254000000000133,4.220570000000009,667.0252
283676,41.75,-2.75,2056-02-01,0.5424479,1.7153047e-08,10.561180000000036,0.1384500000000343,5.021780000000035,646.00287
284364,41.75,-2.75,2056-03-01,0.55215716,1.164814e-08,15.72744,-1.249239999999986,7.553370000000029,682.90717
284857,41.75,-2.75,2056-04-01,0.5486919,1.8527846e-08,16.930200000000013,4.839140000000043,10.908929999999998,691.4427
285309,41.75,-2.75,2056-05-01,0.44485578,1.3890282e-08,25.124870000000044,9.490080000000034,17.57134000000002,791.65186
285820,41.75,-2.75,2056-06-01,0.46001402,1.8159188e-08,28.437460000000044,9.950199999999995,19.05465000000004,857.3257
286659,41.75,-2.75,2056-07-01,0.2758602,3.68844e-08,30.93395000000004,16.205129999999997,22.05694,1042.1738
287354,41.75,-2.75,2056-08-01,0.2678083,2.0784416e-08,27.774380000000008,14.84620000000001,22.05084000000005,1041.7498
287804,41.75,-2.75,2056-09-01,0.3656762,1.0884386e-08,26.49380000000002,13.881250000000025,19.54406,907.4635
288402,41.75,-2.75,2056-10-01,0.53166306,1.6796303e-08,21.527120000000025,9.217600000000004,15.494470000000035,851.1237
288999,41.75,-2.75,2056-11-01,0.60139453,2.1252728e-08,11.076780000000042,4.6962500000000205,7.127769999999998,703.90784
289737,41.75,-2.75,2056-12-01,0.64684945,2.1546223e-08,8.457760000000007,0.4407000000000494,3.499050000000011,658.1453
290202,41.75,-2.75,2057-01-01,0.6768781,2.6080752e-08,6.323180000000036,1.9122300000000223,3.5212999999999965,648.70465
290646,41.75,-2.75,2057-02-01,0.664397,2.9859084e-08,7.038080000000036,-4.82038,3.039540000000045,646.779
291310,41.75,-2.75,2057-03-01,0.6320378,1.4402486e-08,13.886320000000012,5.706870000000038,7.834699999999998,674.38477
291721,41.75,-2.75,2057-04-01,0.5954283,4.586788e-08,11.824580000000026,5.2341200000000185,8.444360000000017,700.87115
292258,41.75,-2.75,2057-05-01,0.5142636,1.7230835e-08,22.80557000000005,11.400900000000036,16.566460000000006,844.7704
292811,41.75,-2.75,2057-06-01,0.32535556,8.803646e-09,27.242819999999995,8.28692000000001,20.853800000000035,900.7142
293748,41.75,-2.75,2057-07-01,0.16672337,0.0,30.994470000000035,15.149620000000027,24.996550000000013,937.3883
294150,41.75,-2.75,2057-08-01,0.17814665,0.0,35.04540000000003,16.854900000000043,24.860040000000023,904.74335
294474,41.75,-2.75,2057-09-01,0.42149606,1.1116517e-08,28.85082,13.57220000000001,19.629170000000045,904.0387
295300,41.75,-2.75,2057-10-01,0.48949668,8.626872e-09,19.5874,6.333900000000028,11.969100000000026,779.95447
295962,41.75,-2.75,2057-11-01,0.5232224,9.606218e-09,13.972340000000033,6.180380000000014,8.882780000000025,706.8231
296606,41.75,-2.75,2057-12-01,0.6999062,3.3601218e-08,8.397850000000005,0.0932300000000054,4.534480000000031,674.5404
296963,41.75,-2.75,2058-01-01,0.6966187,4.018604e-08,9.010770000000036,0.1810500000000274,4.221900000000005,686.7347
297343,41.75,-2.75,2058-02-01,0.70416003,2.5149946e-08,9.114100000000008,1.1175800000000322,4.601600000000019,655.12274
297951,41.75,-2.75,2058-03-01,0.49471092,1.06816955e-08,13.437220000000025,-0.1829299999999989,6.77030000000002,651.0367
298862,41.75,-2.75,2058-04-01,0.50839925,1.7501774e-08,16.439300000000003,2.096580000000017,10.140440000000012,693.5937
299263,41.75,-2.75,2058-05-01,0.5646869,3.352902e-08,19.31530000000004,6.986140000000034,12.479100000000017,788.5281
299905,41.75,-2.75,2058-06-01,0.30943075,2.4181858e-08,23.763360000000034,9.65405000000004,17.310720000000003,900.5533
300159,41.75,-2.75,2058-07-01,0.10894777,0.0,29.42663000000005,16.673940000000016,25.44326000000001,915.9354
