Unnamed: 0,time,lon,lat,Temperature_Air_2m_Min_24h
1154296,2015-03-19,30.699999999988023,-2.0999999999947647,17.381200000000035
1169095,2015-03-20,30.699999999988023,-2.0999999999947647,17.02102000000002
1183894,2015-03-21,30.699999999988023,-2.0999999999947647,17.415459999999996
1198693,2015-03-22,30.699999999988023,-2.0999999999947647,17.127160000000003
1213492,2015-03-23,30.699999999988023,-2.0999999999947647,16.98705000000001
1228291,2015-03-24,30.699999999988023,-2.0999999999947647,16.581050000000005
1243090,2015-03-25,30.699999999988023,-2.0999999999947647,15.872130000000029
1257889,2015-03-26,30.699999999988023,-2.0999999999947647,16.221300000000042
1272688,2015-03-27,30.699999999988023,-2.0999999999947647,16.34603000000004
1287487,2015-03-28,30.699999999988023,-2.0999999999947647,16.479460000000017
1302286,2015-03-29,30.699999999988023,-2.0999999999947647,16.69735000000003
