Unnamed: 0,lat,lon,time,cloud cover mean,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
168595,-2.75,29.25,2039-06-01,0.6401205,5.3144484e-09,24.926350000000014,15.441580000000044,19.91903000000002,1007.0477
169127,-2.75,29.25,2039-07-01,0.5813464,5.280741e-09,25.172450000000023,14.74980000000005,19.873800000000017,1013.3318
170087,-2.75,29.25,2039-08-01,0.47796017,0.0,25.810900000000004,15.66482000000002,20.49514000000005,871.3677
170555,-2.75,29.25,2039-09-01,0.73232496,3.3416725e-08,26.58355,16.05074000000002,20.90396000000004,993.602
170832,-2.75,29.25,2039-10-01,0.81370777,4.9942653e-08,26.19628,16.113500000000045,20.63760000000002,1031.3278
171465,-2.75,29.25,2039-11-01,0.8495124,8.4204615e-08,25.051420000000007,15.926500000000033,19.99523000000005,1074.1266
172360,-2.75,29.25,2039-12-01,0.8045194,7.43317e-08,25.20180000000005,15.796750000000031,20.25286,1058.5598
172841,-2.75,29.25,2040-01-01,0.8353717,8.861502e-08,25.238760000000013,15.952480000000037,20.29376000000002,1073.9623
173083,-2.75,29.25,2040-02-01,0.74552697,6.6367875e-08,25.590630000000036,16.007650000000012,20.653380000000027,1076.7388
174074,-2.75,29.25,2040-03-01,0.86717224,9.3885426e-08,25.59683000000001,16.066550000000007,20.453599999999994,1104.5842
174536,-2.75,29.25,2040-04-01,0.9078076,1.193757e-07,24.47112000000004,16.335080000000005,19.86070000000001,1154.553
175023,-2.75,29.25,2040-05-01,0.75194126,6.1630686e-08,24.427850000000035,15.708100000000002,19.59680000000003,1088.177
175925,-2.75,29.25,2040-06-01,0.6377248,1.1365873e-08,24.506950000000018,15.358400000000016,19.57415000000003,1025.6915
176045,-2.75,29.25,2040-07-01,0.48152494,0.0,24.99340000000001,15.045600000000036,19.45187000000004,907.7477
177003,-2.75,29.25,2040-08-01,0.55574846,5.779164e-10,25.867880000000014,15.583150000000046,20.5693,989.42523
177127,-2.75,29.25,2040-09-01,0.68084663,1.592693e-08,26.422540000000023,16.582880000000046,21.380980000000022,988.85455
178193,-2.75,29.25,2040-10-01,0.84805346,6.0960474e-08,25.46526,16.14620000000002,20.44497000000001,1065.0165
178682,-2.75,29.25,2040-11-01,0.8882049,8.89615e-08,24.403920000000028,15.941250000000023,19.96502000000004,1098.5887
179212,-2.75,29.25,2040-12-01,0.7819287,8.057351e-08,25.633140000000022,15.909330000000011,20.41317000000004,1082.3796
179504,-2.75,29.25,2041-01-01,0.8940117,1.04792576e-07,25.124300000000005,15.858420000000024,20.14144000000005,1087.227
180528,-2.75,29.25,2041-02-01,0.71659887,6.455575e-08,25.61130000000003,15.88995,20.458730000000003,1068.9487
181031,-2.75,29.25,2041-03-01,0.73226947,7.45057e-08,25.56260000000003,16.212060000000008,20.256430000000023,1080.6401
181566,-2.75,29.25,2041-04-01,0.8606857,9.956212e-08,24.50030000000004,15.901800000000035,19.8245,1115.1504
182094,-2.75,29.25,2041-05-01,0.6379141,4.1899696e-08,24.575500000000037,15.534230000000036,19.647880000000043,1076.5884
182843,-2.75,29.25,2041-06-01,0.55667716,1.2792123e-09,24.87017000000003,15.313840000000027,19.55755000000005,970.42456
183213,-2.75,29.25,2041-07-01,0.69469935,1.2036405e-09,25.409170000000017,14.901900000000012,19.924860000000024,918.77637
183474,-2.75,29.25,2041-08-01,0.61381805,5.964008e-09,25.95147000000003,15.674800000000005,20.498130000000003,986.2111
184513,-2.75,29.25,2041-09-01,0.69233865,1.06317035e-08,26.336400000000022,16.828400000000045,21.4357,986.6608
184922,-2.75,29.25,2041-10-01,0.80050594,4.8445433e-08,25.524,16.360070000000007,21.14407,1023.781
185586,-2.75,29.25,2041-11-01,0.8676871,7.940291e-08,24.945700000000045,15.894900000000009,20.125800000000027,1096.4613
185744,-2.75,29.25,2041-12-01,0.84247893,6.013483e-08,25.63342,16.278560000000027,20.57397000000003,1094.1838
186771,-2.75,29.25,2042-01-01,0.78895056,1.01159976e-07,25.20693,16.0908,20.397580000000005,1087.6976
186901,-2.75,29.25,2042-02-01,0.7997079,6.946048e-08,25.21353000000005,16.434380000000033,20.81906000000004,1078.3083
187574,-2.75,29.25,2042-03-01,0.86768174,8.632801e-08,25.934720000000027,16.565800000000024,20.61694,1108.8889
188468,-2.75,29.25,2042-04-01,0.8888419,1.0275577e-07,24.7783,15.969050000000038,19.8648,1103.8362
188834,-2.75,29.25,2042-05-01,0.73473185,6.995231e-08,24.349760000000003,15.653099999999997,19.52578,1088.9155
189657,-2.75,29.25,2042-06-01,0.57309526,1.6787443e-08,24.626520000000028,15.20867000000004,19.68896000000001,1029.9967
190186,-2.75,29.25,2042-07-01,0.5014963,0.0,25.11465000000004,15.112420000000045,19.39974000000001,937.6072
190458,-2.75,29.25,2042-08-01,0.62245095,0.0,25.848659999999995,15.73544000000004,20.495750000000044,969.3245
