Unnamed: 0,time,lon,lat,Precipitation_Flux
1287487,2015-03-28,30.699999999988023,-2.0999999999947647,1.82
1302286,2015-03-29,30.699999999988023,-2.0999999999947647,26.65
1317085,2015-03-30,30.699999999988023,-2.0999999999947647,11.55
1331884,2015-03-31,30.699999999988023,-2.0999999999947647,3.91
1346683,2015-04-01,30.699999999988023,-2.0999999999947647,5.26
1361482,2015-04-02,30.699999999988023,-2.0999999999947647,0.53
1376281,2015-04-03,30.699999999988023,-2.0999999999947647,20.13
1391080,2015-04-04,30.699999999988023,-2.0999999999947647,8.11
1405879,2015-04-05,30.699999999988023,-2.0999999999947647,23.84
1420678,2015-04-06,30.699999999988023,-2.0999999999947647,5.5
1435477,2015-04-07,30.699999999988023,-2.0999999999947647,4.87
1450276,2015-04-08,30.699999999988023,-2.0999999999947647,0.46
