Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","34120","Industrial monocarboxylic fatty acids; acid oils from refining","2021","2021","1000 US$","640","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23991.01","Infant food","2021","2021","1000 US$","2114","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21439.04","Juice of citrus fruit n.e.c.","2021","2021","1000 US$","4","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21439.90","Juice of fruits n.e.c.","2021","2021","1000 US$","3230","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21433.01","Juice of pineapples, concentrated","2021","2021","1000 US$","8","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01352","Kiwi fruit","2021","2021","1000 US$","3","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","23210.06","Lactose","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01322","Lemons and limes","2021","2021","1000 US$","389","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01704","Lentils, dry","2021","2021","1000 US$","17","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","01441","Linseed","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21189.01","Liver preparations","2021","2021","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","0112","Maize (corn)","2021","2021","1000 US$","18331","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","24320","Malt, whether or not roasted","2021","2021","1000 US$","17514","A","Official figure"
"TCL","Crops and livestock products","646","Rwanda","5622","Import Value","21700.02","Margarine and shortening","2021","2021","1000 US$","2315","A","Official figure"
