Unnamed: 0,lat,lon,time,cloud cover mean,cloud-cover_monthly-mean_ipsl-cm5a-mr_rcp85_r1i1p1_1950-2100-mean_v1.0,precipitation mean,temperature max,temperature min,temperature mean,water vapor pressure mean
36471,-1.25,30.25,2020-04-01,0.8180438,0.81206894,5.9213843e-08,25.30590000000001,15.931100000000017,19.884900000000016,1038.7498
37331,-1.25,30.25,2020-05-01,0.6941402,0.7256764,2.56364e-08,24.888450000000034,16.09435000000002,20.04406,1034.865
37572,-1.25,30.25,2020-06-01,0.54882264,0.639268,5.620903e-09,25.72332,15.953200000000038,20.407039999999995,943.5381
38117,-1.25,30.25,2020-07-01,0.6629881,0.5993996,7.485827e-09,26.28380000000004,15.76916,20.79907000000003,942.7429
39085,-1.25,30.25,2020-08-01,0.6483207,0.6477593,2.0855165e-08,26.92144000000002,16.360960000000034,20.569200000000023,979.1313
39511,-1.25,30.25,2020-09-01,0.70890695,0.67536926,3.9745718e-08,26.019600000000025,16.00890000000004,20.321470000000037,1020.3277
40165,-1.25,30.25,2020-10-01,0.7887515,0.7999473,4.7612264e-08,24.855920000000022,15.684140000000014,19.894980000000032,1030.0104
40336,-1.25,30.25,2020-11-01,0.7607245,0.7885996,2.0084272e-08,25.3621,15.676570000000028,19.922020000000032,1035.0406
41113,-1.25,30.25,2020-12-01,0.76220626,0.73314476,3.4973773e-08,24.693140000000028,15.274159999999997,19.980980000000045,1031.6128
41890,-1.25,30.25,2021-01-01,0.7278478,0.7222777,3.208649e-08,25.756430000000023,15.950860000000034,20.703550000000007,1018.8101
42446,-1.25,30.25,2021-02-01,0.7027896,0.7248202,4.5476511e-10,27.055870000000027,16.352800000000002,21.45495,988.09406
42564,-1.25,30.25,2021-03-01,0.7606888,0.7705754,4.089602e-08,26.626100000000008,16.28307000000001,20.49170000000004,1032.7268
43627,-1.25,30.25,2021-04-01,0.77467024,0.8128784,3.243299e-08,25.15902,16.218500000000006,20.28036000000003,1040.6277
44016,-1.25,30.25,2021-05-01,0.75803417,0.72625893,4.392692e-08,24.87440000000004,16.55310000000003,20.205870000000004,1048.607
44333,-1.25,30.25,2021-06-01,0.670363,0.63671,1.0109515e-08,25.715419999999995,15.57018000000005,20.422020000000032,958.0058
44957,-1.25,30.25,2021-07-01,0.6324863,0.60093343,3.4497893e-10,26.39462000000003,15.687460000000044,20.90652,914.2336
45675,-1.25,30.25,2021-08-01,0.68590766,0.6469641,1.3110604e-08,26.97152,16.88207,21.45043000000004,967.9886
46402,-1.25,30.25,2021-09-01,0.6622285,0.6742897,2.3822327e-08,26.73303000000004,15.74935000000005,20.796040000000005,998.0268
46875,-1.25,30.25,2021-10-01,0.86291933,0.8007477,9.6346255e-08,24.12325000000004,15.836300000000051,19.89600000000001,1061.6399
47500,-1.25,30.25,2021-11-01,0.86150753,0.78589225,2.825015e-07,24.46646000000004,15.345799999999995,18.936800000000005,1041.8181
47992,-1.25,30.25,2021-12-01,0.6857289,0.7316749,1.7319252e-08,25.53307000000001,15.5702,20.438170000000014,1016.0674
48443,-1.25,30.25,2022-01-01,0.668418,0.7221977,1.7397026e-08,26.445400000000006,15.86160000000001,20.70180000000005,1004.40094
